sku_id,center_id,storage_type,AS_IS_stock_kg,TO_BE_stock_kg_heuristic,변화_kg
431314,4,냉동,0.0,0.0,0.0
431314,5,냉동,0.0,0.0,0.0
452329,1,실온,3012.0,3012.0,0.0
452329,2,실온,0.0,0.0,0.0
452329,4,실온,0.0,0.0,0.0
452329,5,실온,0.0,0.0,0.0
440171,1,냉동,0.0,0.0,0.0
440171,2,냉동,0.0,0.0,0.0
440171,3,냉동,0.0,0.0,0.0
440171,4,냉동,2399.4,2399.4,0.0
440171,5,냉동,0.0,0.0,0.0
362482,1,냉장,0.0,0.0,0.0
362482,2,냉장,0.0,0.0,0.0
362482,4,냉장,0.0,0.0,0.0
362482,5,냉장,1779.3,1779.3,0.0
441157,1,냉장,1883.14,1883.14,0.0
441157,2,냉장,0.0,0.0,0.0
441157,4,냉장,0.0,0.0,0.0
441157,5,냉장,0.0,0.0,0.0
397917,1,냉동,0.0,0.0,0.0
397917,2,냉동,0.0,0.0,0.0
397917,3,냉동,2492.4,2492.4,0.0
397917,4,냉동,0.0,0.0,0.0
397917,5,냉동,0.0,0.0,0.0
458239,1,냉동,0.0,4242.5,4242.5
458239,2,냉동,0.0,0.0,0.0
458239,3,냉동,0.0,0.0,0.0
458239,4,냉동,0.0,0.0,0.0
458239,5,냉동,4320.0,77.5,-4242.5
